Date,NVDA.O (TRDPRC_1),JPM (TRDPRC_1),GS (TRDPRC_1),AAPL.O (TRDPRC_1),MSFT.O (TRDPRC_1),TSLA.O (TRDPRC_1),META.O (TRDPRC_1),GOOGL.O (TRDPRC_1),BLK (TRDPRC_1),BX (TRDPRC_1),TSM (TRDPRC_1),XAU= (BID),AMZN.O (TRDPRC_1),WMT (TRDPRC_1),COST.O (TRDPRC_1),NKE (TRDPRC_1),PFE (TRDPRC_1),TSN (TRDPRC_1),SPY (TRDPRC_1),F (TRDPRC_1)
,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
06/5/2025,113.54,249.25,549.36,198.51,433.31,275.35,587.31,163.23,914.97,134,172.28,3429.3203,185.01,98.55,1010.5,57.04,22.88,55.75,558.8,10.44
05/5/2025,113.82,252.56,559.56,198.89,436.17,280.26,599.27,164.21,920.53,136.11,176.4,3333.5957,186.35,99.33,1014.89,57.35,23.87,56.08,563.51,10.17
02/5/2025,114.5,252.51,566.1,205.35,435.28,287.21,597.02,164.03,929.2,137.42,179.28,3240.0769,189.98,98.75,1008.3,58.59,24.2,60.79,566.76,10.28
01/5/2025,111.61,246.89,553.83,213.32,425.4,280.52,572.21,161.3,916.14,133.39,172.72,3240.2869,190.2,97.41,999.04,56.76,23.93,60.61,558.47,10.18
30/4/2025,108.92,244.62,547.55,212.5,395.26,282.16,549,158.8,914.26,131.71,166.69,3287.7195,184.42,97.25,994.5,56.4,24.41,61.24,554.54,10.01
29/4/2025,109.02,244.62,548.92,211.21,394.04,292.03,554.44,160.16,920.52,133.54,164.48,3316.1089,187.39,96.04,991.7,57.54,23.79,60.58,554.32,10.15
28/4/2025,108.73,243.22,546.4,210.14,391.16,285.88,549.74,160.61,913.74,133.58,163.4,3341.365,187.7,95.22,978.54,57.31,23.05,60.11,550.85,10.02
25/4/2025,111.01,243.55,544.86,209.28,391.85,284.95,547.27,161.96,907.69,132.86,165.1,3318.2,188.99,95.09,977.16,57.62,22.92,60.62,550.64,10.04
24/4/2025,106.43,244.64,545.37,208.37,387.3,259.51,533.15,159.28,916.26,134.55,164.18,3348.2314,186.54,95.84,975.48,58.48,22.78,61.42,546.69,10.06
23/4/2025,102.71,240.88,529.31,204.6,374.39,250.74,520.27,155.35,892.54,127,157.81,3287.4878,180.6,94.96,975.84,57.39,22.39,62.03,535.42,9.78
22/4/2025,98.89,235.59,519.99,199.74,366.82,237.97,500.28,151.47,887.22,124.91,151.4,3381.4954,173.18,94.85,979.23,57.06,22.53,61.39,527.25,9.65
21/4/2025,96.91,228.99,501.36,193.16,359.12,227.5,484.66,147.67,854,120.22,147.86,3424.3025,167.32,92.41,957.77,56.12,22.04,60.79,513.88,9.47
17/4/2025,101.49,231.96,509.49,196.98,367.78,241.37,501.48,151.16,875.78,130.39,151.74,3327.54,172.61,93.22,994.5,55.76,22.14,61.21,526.41,9.63
16/4/2025,104.49,229.61,499.05,194.27,371.61,241.55,502.31,153.33,865.78,129.38,151.67,3343.2224,174.33,91.19,967.75,53.55,22.04,60.66,525.66,9.4
15/4/2025,112.2,233.13,507.89,202.14,385.73,254.11,521.52,156.31,888.44,133.54,157.33,3227.605,179.59,93.97,976.92,54.83,22.44,60.99,537.61,9.45
14/4/2025,110.71,234.72,503.98,202.52,387.81,252.35,531.48,159.07,889.95,130.47,155.84,3209.2849,182.12,94.73,979.32,55.41,22.12,61.57,539.12,9.71
11/4/2025,110.93,236.2,494.44,198.15,388.45,252.31,543.57,157.14,878.78,127.18,157.08,3236.2124,184.87,92.8,963.41,54.39,21.91,60.54,533.94,9.33
10/4/2025,107.57,227.11,489.8,190.42,381.35,252.4,546.29,152.82,858.78,127.45,151.13,3173.917,181.22,90.61,964.31,54.4,21.59,60.13,524.58,9.14
09/4/2025,114.33,234.34,516.87,198.85,390.49,272.2,585.77,158.71,897.08,137.36,158.75,3082.1814,191.1,89.6,965.19,59.32,22.49,59.76,548.62,9.5
